Typ,Description,Dmax,"B±0,2",hmax,"H±0,25",Smin,"d+0,08/-0",m
M2,,"4,2","6,35","0,97","1,5",1,"4,22","4,8"
"M2,5",,"4,2","6,35","0,97","1,5",1,"4,22","4,8"
M3,,"4,2","6,35","0,97","1,5",1,"4,22","4,8"
"M3,5",,"4,73","7,1","0,97","1,5",1,"4,75","5,6"
M4,,"5,38","7,95","0,97",2,1,"5,41","6,9"
M5,,"6,33","8,75","0,97",2,1,"6,35","7,1"
M6,,"8,73","11,1","1,38","4,08","1,4","8,75","8,6"
M8,,"10,47","12,65","1,38","5,47","1,4","10,5","9,7"
M10,,"13,97","17,35","2,21","7,48","2,31",14,"13,5"

M12,,"16,95","20,55","3,05","8,5","3,18",17,16
