Typ,Description,"L+0,05/-0,13","C+0/-0,13",Anom,Smin,"d+0,08/-0",m,B
M2,,10,"4,2","4,8",1,"4,22",6,4
"M2,5",,6,"4,2","4,8",1,"4,22",6,"3,2"
"M2,5",,7,"4,2","4,8",1,"4,22",6,"3,6"
"M2,5",,8,"4,2","4,8",1,"4,22",6,4
"M2,5",,10,"4,2","4,8",1,"4,22",6,4
"M2,5",,12,"4,2","4,8",1,"4,22",6,5
"M2,5",,14,"4,2","4,8",1,"4,22",6,"6,5"
"M2,5",,16,"4,2","4,8",1,"4,22",6,"6,5"
M3,,4,"4,2","4,8",1,"4,22",6,-
M3,,5,"4,2","4,8",1,"4,22",6,"2,8"
M3,,6,"4,2","4,8",1,"4,22",6,"3,2"
M3,,7,"4,2","4,8",1,"4,22",6,"3,6"
M3,,8,"4,2","4,8",1,"4,22",6,4
M3,,9,"4,2","4,8",1,"4,22",6,4
M3,,10,"4,2","4,8",1,"4,22",6,4
M3,,12,"4,2","4,8",1,"4,22",6,5
M3,,14,"4,2","4,8",1,"4,22",6,"6,5"
M3,,15,"4,2","4,8",1,"4,22",6,"6,5"
M3,,16,"4,2","4,8",1,"4,22",6,"6,5"
M3,,18,"4,2","4,8",1,"4,22",6,"9,5"
M3,,20,"4,2","4,8",1,"4,22",6,"9,5"
M3,,22,"4,2","4,8",1,"4,22",6,"9,5"
M3,,25,"4,2","4,8",1,"4,22",6,"9,5"
M3,,30,"4,2","4,8",1,"4,22",6,"9,5"
M4,,6,"7,12","7,9","1,27","7,14",8,"3,2"
M4,,8,"7,12","7,9","1,27","7,14",8,4
M4,,9,"7,12","7,9","1,27","7,14",8,4
M4,,10,"7,12","7,9","1,27","7,14",8,4
M4,,12,"7,12","7,9","1,27","7,14",8,5
M4,,14,"7,12","7,9","1,27","7,14",8,"6,5"
M4,,16,"7,12","7,9","1,27","7,14",8,"6,5"
M4,,18,"7,12","7,9","1,27","7,14",8,"9,5"
M4,,20,"7,12","7,9","1,27","7,14",8,"9,5"
M4,,22,"7,12","7,9","1,27","7,14",8,"9,5"
M4,,24,"7,12","7,9","1,27","7,14",8,"9,5"
M4,,25,"7,12","7,9","1,27","7,14",8,"9,5"
M4,,30,"7,12","7,9","1,27","7,14",8,"9,5"
M5,,6,"7,12","7,9","1,27","7,14",8,"3,2"
M5,,8,"7,12","7,9","1,27","7,14",8,4
M5,,10,"7,12","7,9","1,27","7,14",8,4
M5,,12,"7,12","7,9","1,27","7,14",8,5
M5,,14,"7,12","7,9","1,27","7,14",8,"6,5"
M5,,16,"7,12","7,9","1,27","7,14",8,"6,5"
M5,,18,"7,12","7,9","1,27","7,14",8,"9,5"
M5,,20,"7,12","7,9","1,27","7,14",8,"9,5"
M5,,22,"7,12","7,9","1,27","7,14",8,"9,5"
M5,,24,"7,12","7,9","1,27","7,14",8,"9,5"
M5,,25,"7,12","7,9","1,27","7,14",8,"9,5"
M5,,30,"7,12","7,9","1,27","7,14",8,"9,5"
