Typ,Description,"L±0,4","d+0,08/-0","D±0,4",Hmax,Smin,m
M2,,6,2,"3,5","1,95",1,"5,2"
M2,,8,2,"3,5","1,95",1,"5,2"
M2,,10,2,"3,5","1,95",1,"5,2"
M2,,12,2,"3,5","1,95",1,"5,2"
M2,,15,2,"3,5","1,95",1,"5,2"
M2,,16,2,"3,5","1,95",1,"5,2"
M2,,18,2,"3,5","1,95",1,"5,2"
M2,,20,2,"3,5","1,95",1,"5,2"
"M2,5",,6,"2,5","4,1","1,95",1,"5,4"
"M2,5",,8,"2,5","4,1","1,95",1,"5,4"
"M2,5",,10,"2,5","4,1","1,95",1,"5,4"
"M2,5",,12,"2,5","4,1","1,95",1,"5,4"
"M2,5",,15,"2,5","4,1","1,95",1,"5,4"
"M2,5",,18,"2,5","4,1","1,95",1,"5,4"
"M2,5",,20,"2,5","4,1","1,95",1,"5,4"
M3,,5,3,"4,6","2,1",1,"5,6"
M3,,6,3,"4,6","2,1",1,"5,6"
M3,,8,3,"4,6","2,1",1,"5,6"
M3,,10,3,"4,6","2,1",1,"5,6"
M3,,12,3,"4,6","2,1",1,"5,6"
M3,,15,3,"4,6","2,1",1,"5,6"
M3,,16,3,"4,6","2,1",1,"5,6"
M3,,18,3,"4,6","2,1",1,"5,6"
M3,,20,3,"4,6","2,1",1,"5,6"
M3,,22,3,"4,6","2,1",1,"5,6"
M3,,25,3,"4,6","2,1",1,"5,6"
M3,,30,3,"4,6","2,1",1,"5,6"
M3,,35,3,"4,6","2,1",1,"5,6"
"M3,5",,8,"3,5","5,3","2,2",1,"6,4"
"M3,5",,10,"3,5","5,3","2,2",1,"6,4"
"M3,5",,12,"3,5","5,3","2,2",1,"6,4"
"M3,5",,15,"3,5","5,3","2,2",1,"6,4"
"M3,5",,16,"3,5","5,3","2,2",1,"6,4"
"M3,5",,20,"3,5","5,3","2,2",1,"6,4"
"M3,5",,25,"3,5","5,3","2,2",1,"6,4"
M4,,5,4,"5,9","2,4",1,"7,2"
M4,,6,4,"5,9","2,4",1,"7,2"
M4,,8,4,"5,9","2,4",1,"7,2"
M4,,10,4,"5,9","2,4",1,"7,2"
M4,,12,4,"5,9","2,4",1,"7,2"
M4,,15,4,"5,9","2,4",1,"7,2"
M4,,16,4,"5,9","2,4",1,"7,2"
M4,,18,4,"5,9","2,4",1,"7,2"
M4,,20,4,"5,9","2,4",1,"7,2"
M4,,22,4,"5,9","2,4",1,"7,2"
M4,,25,4,"5,9","2,4",1,"7,2"
M4,,28,4,"5,9","2,4",1,"7,2"
M4,,30,4,"5,9","2,4",1,"7,2"
M4,,35,4,"5,9","2,4",1,"7,2"
M4,,38,4,"5,9","2,4",1,"7,2"
M4,,40,4,"5,9","2,4",1,"7,2"
M4,,45,4,"5,9","2,4",1,"7,2"
M4,,50,4,"5,9","2,4",1,"7,2"
M5,,6,5,"6,5","2,7",1,"7,2"
M5,,8,5,"6,5","2,7",1,"7,2"
M5,,10,5,"6,5","2,7",1,"7,2"
M5,,12,5,"6,5","2,7",1,"7,2"
M5,,15,5,"6,5","2,7",1,"7,2"
M5,,16,5,"6,5","2,7",1,"7,2"
M5,,18,5,"6,5","2,7",1,"7,2"
M5,,20,5,"6,5","2,7",1,"7,2"
M5,,22,5,"6,5","2,7",1,"7,2"
M5,,25,5,"6,5","2,7",1,"7,2"
M5,,28,5,"6,5","2,7",1,"7,2"
M5,,30,5,"6,5","2,7",1,"7,2"
M5,,35,5,"6,5","2,7",1,"7,2"
M5,,38,5,"6,5","2,7",1,"7,2"
M5,,40,5,"6,5","2,7",1,"7,2"
M5,,45,5,"6,5","2,7",1,"7,2"
M5,,50,5,"6,5","2,7",1,"7,2"
M6,,8,6,"8,2",3,"1,6","7,9"
M6,,10,6,"8,2",3,"1,6","7,9"
M6,,12,6,"8,2",3,"1,6","7,9"
M6,,15,6,"8,2",3,"1,6","7,9"
M6,,16,6,"8,2",3,"1,6","7,9"
M6,,18,6,"8,2",3,"1,6","7,9"
M6,,20,6,"8,2",3,"1,6","7,9"
M6,,22,6,"8,2",3,"1,6","7,9"
M6,,25,6,"8,2",3,"1,6","7,9"
M6,,28,6,"8,2",3,"1,6","7,9"
M6,,30,6,"8,2",3,"1,6","7,9"
M6,,35,6,"8,2",3,"1,6","7,9"
M6,,38,6,"8,2",3,"1,6","7,9"
M6,,40,6,"8,2",3,"1,6","7,9"
M6,,45,6,"8,2",3,"1,6","7,9"
M6,,50,6,"8,2",3,"1,6","7,9"
M8,,8,8,"9,6","3,7","2,4","9,6"
M8,,10,8,"9,6","3,7","2,4","9,6"
M8,,12,8,"9,6","3,7","2,4","9,6"
M8,,15,8,"9,6","3,7","2,4","9,6"
M8,,16,8,"9,6","3,7","2,4","9,6"
M8,,18,8,"9,6","3,7","2,4","9,6"
M8,,20,8,"9,6","3,7","2,4","9,6"
M8,,22,8,"9,6","3,7","2,4","9,6"
M8,,25,8,"9,6","3,7","2,4","9,6"
M8,,28,8,"9,6","3,7","2,4","9,6"
M8,,30,8,"9,6","3,7","2,4","9,6"
M8,,35,8,"9,6","3,7","2,4","9,6"
M8,,38,8,"9,6","3,7","2,4","9,6"
M8,,40,8,"9,6","3,7","2,4","9,6"
M8,,45,8,"9,6","3,7","2,4","9,6"
M8,,50,8,"9,6","3,7","2,4","9,6"
