Name,Image,Description,"L+0,05/-0,13","C+0/-0,13","D±0,13",Anom,Smin,"d+0,08/-0",m,B
M2,Lisovací sloupky průchozí.png,,3,"4,2","3,2","4,8",1,"4,22",6,-
M2,Lisovací sloupky průchozí.png,,4,"4,2","3,2","4,8",1,"4,22",6,
M2,Lisovací sloupky průchozí.png,,5,"4,2","3,2","4,8",1,"4,22",6,
M2,Lisovací sloupky průchozí.png,,6,"4,2","3,2","4,8",1,"4,22",6,
M2,Lisovací sloupky průchozí.png,,7,"4,2","3,2","4,8",1,"4,22",6,
M2,Lisovací sloupky průchozí.png,,8,"4,2","3,2","4,8",1,"4,22",6,
"M2,5",Lisovací sloupky průchozí.png,,3,"4,2","3,2","4,8",1,"4,22",6,-
"M2,5",Lisovací sloupky průchozí.png,,4,"4,2","3,2","4,8",1,"4,22",6,
"M2,5",Lisovací sloupky průchozí.png,,5,"4,2","3,2","4,8",1,"4,22",6,
"M2,5",Lisovací sloupky průchozí.png,,6,"4,2","3,2","4,8",1,"4,22",6,
"M2,5",Lisovací sloupky průchozí.png,,8,"4,2","3,2","4,8",1,"4,22",6,
"M2,5",Lisovací sloupky průchozí.png,,10,"4,2","3,2","4,8",1,"4,22",6,4
"M2,5",Lisovací sloupky průchozí.png,,12,"4,2","3,2","4,8",1,"4,22",6,
"M2,5",Lisovací sloupky průchozí.png,,14,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,3,"4,2","3,2","4,8",1,"4,22",6,-
M3,Lisovací sloupky průchozí.png,,4,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,5,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,6,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,7,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,8,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,9,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,10,"4,2","3,2","4,8",1,"4,22",6,4
M3,Lisovací sloupky průchozí.png,,12,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,14,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,16,"4,2","3,2","4,8",1,"4,22",6,8
M3,Lisovací sloupky průchozí.png,,18,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,20,"4,2","3,2","4,8",1,"4,22",6,
M3,Lisovací sloupky průchozí.png,,22,"4,2","3,2","4,8",1,"4,22",6,11
M3,Lisovací sloupky průchozí.png,,25,"4,2","3,2","4,8",1,"4,22",6,
M4,Lisovací sloupky průchozí.png,,3,"7,12","4,8","7,9","1,27","7,14",8,-
M4,Lisovací sloupky průchozí.png,,4,"7,12","4,8","7,9","1,27","7,14",8,
M4,Lisovací sloupky průchozí.png,,5,"7,12","4,8","7,9","1,27","7,14",8,
M4,Lisovací sloupky průchozí.png,,6,"7,12","4,8","7,9","1,27","7,14",8,
M4,Lisovací sloupky průchozí.png,,8,"7,12","4,8","7,9","1,27","7,14",8,
M4,Lisovací sloupky průchozí.png,,10,"7,12","4,8","7,9","1,27","7,14",8,4
M4,Lisovací sloupky průchozí.png,,12,"7,12","4,8","7,9","1,27","7,14",8,
M4,Lisovací sloupky průchozí.png,,14,"7,12","4,8","7,9","1,27","7,14",8,
M4,Lisovací sloupky průchozí.png,,15,"7,12","4,8","7,9","1,27","7,14",8,8
M4,Lisovací sloupky průchozí.png,,16,"7,12","4,8","7,9","1,27","7,14",8,
M4,Lisovací sloupky průchozí.png,,18,"7,12","4,8","7,9","1,27","7,14",8,
M4,Lisovací sloupky průchozí.png,,20,"7,12","4,8","7,9","1,27","7,14",8,
M4,Lisovací sloupky průchozí.png,,22,"7,12","4,8","7,9","1,27","7,14",8,11
M4,Lisovací sloupky průchozí.png,,25,"7,12","4,8","7,9","1,27","7,14",8,
M5,Lisovací sloupky průchozí.png,,4,"7,12","5,35","7,9","1,27","7,14",8,-
M5,Lisovací sloupky průchozí.png,,6,"7,12","5,35","7,9","1,27","7,14",8,
M5,Lisovací sloupky průchozí.png,,8,"7,12","5,35","7,9","1,27","7,14",8,
M5,Lisovací sloupky průchozí.png,,10,"7,12","5,35","7,9","1,27","7,14",8,4
M5,Lisovací sloupky průchozí.png,,12,"7,12","5,35","7,9","1,27","7,14",8,
M5,Lisovací sloupky průchozí.png,,14,"7,12","5,35","7,9","1,27","7,14",8,
M5,Lisovací sloupky průchozí.png,,16,"7,12","5,35","7,9","1,27","7,14",8,8
M5,Lisovací sloupky průchozí.png,,18,"7,12","5,35","7,9","1,27","7,14",8,
M5,Lisovací sloupky průchozí.png,,20,"7,12","5,35","7,9","1,27","7,14",8,
M5,Lisovací sloupky průchozí.png,,22,"7,12","5,35","7,9","1,27","7,14",8,11
M5,Lisovací sloupky průchozí.png,,25,"7,12","5,35","7,9","1,27","7,14",8,
