Name,Image,Description,"L±0,4","D±0,4",Hmax,Smin,"d+0,08/-0",m
M2,Lisovací šroub.png,,6,"3,5","1,95",1,2,"5,2"
M2,Lisovací šroub.png,,8,"3,5","1,95",1,2,"5,2"
M2,Lisovací šroub.png,,10,"3,5","1,95",1,2,"5,2"
M2,Lisovací šroub.png,,12,"3,5","1,95",1,2,"5,2"
M2,Lisovací šroub.png,,15,"3,5","1,95",1,2,"5,2"
M2,Lisovací šroub.png,,16,"3,5","1,95",1,2,"5,2"
M2,Lisovací šroub.png,,18,"3,5","1,95",1,2,"5,2"
M2,Lisovací šroub.png,,20,"3,5","1,95",1,2,"5,2"
"M2,5",Lisovací šroub.png,,6,"4,1","1,95",1,"2,5","5,4"
"M2,5",Lisovací šroub.png,,8,"4,1","1,95",1,"2,5","5,4"
"M2,5",Lisovací šroub.png,,10,"4,1","1,95",1,"2,5","5,4"
"M2,5",Lisovací šroub.png,,12,"4,1","1,95",1,"2,5","5,4"
"M2,5",Lisovací šroub.png,,15,"4,1","1,95",1,"2,5","5,4"
"M2,5",Lisovací šroub.png,,18,"4,1","1,95",1,"2,5","5,4"
"M2,5",Lisovací šroub.png,,20,"4,1","1,95",1,"2,5","5,4"
M3,Lisovací šroub.png,,5,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,6,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,8,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,10,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,12,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,15,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,16,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,18,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,20,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,22,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,25,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,30,"4,6","2,1",1,3,"5,6"
M3,Lisovací šroub.png,,35,"4,6","2,1",1,3,"5,6"
"M3,5",Lisovací šroub.png,,8,"5,3","2,2",1,"3,5","6,4"
"M3,5",Lisovací šroub.png,,10,"5,3","2,2",1,"3,5","6,4"
"M3,5",Lisovací šroub.png,,12,"5,3","2,2",1,"3,5","6,4"
"M3,5",Lisovací šroub.png,,15,"5,3","2,2",1,"3,5","6,4"
"M3,5",Lisovací šroub.png,,16,"5,3","2,2",1,"3,5","6,4"
"M3,5",Lisovací šroub.png,,20,"5,3","2,2",1,"3,5","6,4"
"M3,5",Lisovací šroub.png,,25,"5,3","2,2",1,"3,5","6,4"
M4,Lisovací šroub.png,,5,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,6,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,8,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,10,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,12,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,15,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,16,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,18,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,20,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,22,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,25,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,28,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,30,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,35,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,38,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,40,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,45,"5,9","2,4",1,4,"7,2"
M4,Lisovací šroub.png,,50,"5,9","2,4",1,4,"7,2"
M5,Lisovací šroub.png,,6,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,8,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,10,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,12,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,15,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,16,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,18,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,20,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,22,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,25,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,28,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,30,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,35,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,38,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,40,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,45,"6,5","2,7",1,5,"7,2"
M5,Lisovací šroub.png,,50,"6,5","2,7",1,5,"7,2"
M6,Lisovací šroub.png,,8,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,10,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,12,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,15,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,16,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,18,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,20,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,22,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,25,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,28,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,30,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,35,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,38,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,40,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,45,"8,2",3,"1,6",6,"7,9"
M6,Lisovací šroub.png,,50,"8,2",3,"1,6",6,"7,9"
M8,Lisovací šroub.png,,8,"9,6","3,7","2,4",8,"9,6"
M8,Lisovací šroub.png,,10,"9,6","3,7","2,4",8,"9,6"
M8,Lisovací šroub.png,,12,"9,6","3,7","2,4",8,"9,6"
M8,Lisovací šroub.png,,15,"9,6","3,7","2,4",8,"9,6"
M8,Lisovací šroub.png,,16,"9,6","3,7","2,4",8,"9,6"
M8,Lisovací šroub.png,,18,"9,6","3,7","2,4",8,"9,6"
M8,Lisovací šroub.png,,20,"9,6","3,7","2,4",8,"9,6"
M8,Lisovací šroub.png,,22,"9,6","3,7","2,4",8,"9,6"
M8,Lisovací šroub.png,,25,"9,6","3,7","2,4",8,"9,6"
M8,Lisovací šroub.png,,28,"9,6","3,7","2,4",8,"9,6"
M8,Lisovací šroub.png,,30,"9,6","3,7","2,4",8,"9,6"
